"","ID","INSEE_COM","CODE_EPCI","INSEE_DEP","INSEE_REG","NOM_COM_M","POPULATION","Nb_Transac","Prixm2_Moy"
"221","COMMUNE_0000002200276505","22264",200065928,"22",53,"ROCHE JAUDY",2721,18,1564
"222","COMMUNE_0000002200276508","24172",200041168,"24",75,"EYZIES",1092,16,2212
"223","COMMUNE_0000002200276517","26210",200068781,"26",84,"VALHERBASSE",1002,15,1849
"224","COMMUNE_0000002200276512","24534",200070647,"24",75,"SIGOULES ET FLAUGEAC",1244,NA,NA
"225","COMMUNE_0000002200276518","27070",200072312,"27",28,"FRENELLES EN VEXIN",1688,4,1550
"226","COMMUNE_0000002200276520","27541",200066017,"27",28,"MESNIL SAINT JEAN",202,NA,NA
"227","COMMUNE_0000002200276526","28334",200069961,"28",24,"SAINT DENIS LANNERAY",2264,24,1499
"228","COMMUNE_0000002200276524","28236",200006971,"28",24,"ARCISSES",2209,18,1549
"229","COMMUNE_0000002200276525","28331",200070167,"28",24,"SAINTIGNY",1009,7,1122
"230","COMMUNE_0000002200276529","30052",243000270,"30",76,"BREAU MARS",599,13,2391
"231","COMMUNE_0000002200276530","30339",200034601,"30",76,"VAL D AIGOUAL",1469,26,2131
"232","COMMUNE_0000002200276537","35004",200070688,"35",53,"VAL COUESNON",4214,38,1028
"233","COMMUNE_0000002200276536","34246",243400520,"34",76,"ENTRE VIGNES",2123,15,2291
"234","COMMUNE_0000002200276535","33380",243300811,"33",75,"VAL DE LIVENNE",1739,6,1000
"235","COMMUNE_0000002200276541","35282",200072452,"35",53,"RIVES DU COUESNON",2845,18,1520
"236","COMMUNE_0000000009751275","63278",200070753,"63",84,"PESSAT VILLENEUVE",656,6,2239
"237","COMMUNE_0000002200276543","35308",243500733,"35",53,"MESNIL ROC H",4279,52,1372
"238","COMMUNE_0000002200276548","38395",200018166,"38",84,"PLATEAU DES PETITES ROCHES",2460,12,2207
"239","COMMUNE_0000002200276545","38073",200040657,"38",84,"CHANTEPERIER",210,1,1000
"240","COMMUNE_0000002200276546","38163",200018166,"38",84,"HAUT BREDA",403,23,1719
"241","COMMUNE_0000002200276544","36244",200040558,"36",24,"VILLENTROIS FAVEROLLES EN BERRY",913,7,1143
